Имя файла 	 Обнаружено дефектов 	 Общая площадь дефектов,кв.см. 	 Средняя площадь дефекта,кв.см. 	Общая длина дефектов	 Настройки HSV нижние - HSV верхние 
Sludyanka_15-08-23_Uch6_05.txt	29	10.85	0.37	33.18	 0 0 0 155 200 224
Номер дефекта	Длина	Ширина	Площадь
4	0.46	0.46	0.03
6	0.70	0.46	0.05
7	1.16	0.58	0.11
8	0.58	0.70	0.10
10	0.93	0.58	0.16
11	0.35	0.35	0.04
12	0.70	0.46	0.03
13	0.46	0.70	0.03
14	0.70	0.93	0.12
15	1.04	0.58	0.17
16	0.58	0.70	0.09
17	1.28	0.81	0.15
18	2.09	1.04	0.34
19	1.04	0.70	0.10
20	1.04	0.81	0.21
21	0.70	1.04	0.17
22	1.74	0.93	0.46
23	1.51	0.93	0.33
24	0.46	0.58	0.06
25	0.70	0.46	0.07
26	0.93	0.81	0.23
27	1.39	1.28	0.50
28	1.16	0.70	0.14
29	1.86	1.04	0.47
31	1.62	1.16	0.38
32	1.39	1.28	0.26
33	1.97	1.16	1.94
34	2.09	1.04	1.83
35	2.55	1.04	2.26
