Имя файла 	 Обнаружено дефектов 	 Общая площадь дефектов,кв.см. 	 Средняя площадь дефекта,кв.см. 	Общая длина дефектов	 Настройки HSV нижние - HSV верхние 
Sludyanka_15-08-23_Uch6_02.txt	18	4.21	0.23	21.56	 0 0 0 185 155 225
Номер дефекта	Длина	Ширина	Площадь
5	1.10	0.73	0.33
7	0.85	0.49	0.04
8	0.73	0.61	0.09
9	1.10	0.85	0.16
11	0.61	0.61	0.10
12	1.22	0.85	0.29
16	0.85	0.49	0.09
17	2.44	1.10	1.10
20	1.46	1.46	0.29
21	0.97	0.61	0.14
22	0.85	0.61	0.04
23	1.46	0.85	0.19
24	1.22	1.10	0.18
25	1.10	0.97	0.10
26	1.71	0.85	0.47
28	1.34	1.46	0.27
29	0.85	0.61	0.19
30	1.71	0.73	0.16
